GeneID	D1	D3	D4	D5	D6	D7	D8	D10	D11	D14	D15	D16	D17	D18	D19	D22	23D	D24	D25	D28	D29	D30	D31	D32	D35	D36	D37	D38	D42	D43	D44	D45	D46	D49	D50	D51	D52	D57	D58	D59	D60	D63	D64	D65	D66	D67	D70	D71	D72	D74	D77	D78	D79	D80	D81	D85	D86	D87	D88	D91	D92	D93	D94	D95	D98	D99	D100	D101	D102	D105	D106	D107	D108	D109	D112	D113	D114	D115	D116	D120	D121	D127	D130	D131	D134	D136	D137	D140	D141	D142	D149	D151	D155	D156	D157	D161	D162	D163	D164	D168	D169	D172	D176	D177	D178	D179
Anat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044399965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003501264	0	0	0	0	0	0	0	0	0	0	0	0
AquaInve	0	0	0	0	0	0.02740933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041410112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022978613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014882061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BrazI	0	0	0	0	0	0.033143068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044929506	0	0	0	0	0	0.007401017	0	0.019319938	0	0	0	0.00847308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006283033	0	0	0.008227848	0	0.003088086	0	0.023984746	0	0	0	0	0	0.008262843	0	0	0	0.003564749	0.010044458	0.046913292	0.015216723	0.311072919	0.054672143	0.031493853	0	0.038188484	0	0	0.009730091	0.005456383	0	0.087137499	0	0	0	0	0	0	0	0	0	0	0	0.336823592	0.008224586	0	0	0	0	0.238278446	0	0.053447853	0	0	0	0
Brae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018903391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007841388	0	0.038514317	0.729781152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Infa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029858478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MontII	0.35101179	0.717430368	0.228719521	0.696187972	0.061648992	0.527142845	0.535530875	0.446747474	0.924894387	0.01145696	0	0.594553546	0.026917759	0.081926955	0	0.06884824	0.06884824	0.230003844	0	0.252544039	0.916907108	0.725275493	0.030924452	0.011448259	0.061164692	0.168636626	0.264449554	0.124269875	0.020856821	0.804482226	0.014351934	0.64576021	0.780224224	0.581429832	0.623534597	0.274687832	0.748255139	0.748479347	0.023498485	0.835082912	0.769941849	0	0.018431452	0.089437804	0.008795702	0.241834699	0.205075727	0.938720266	1	0.974007197	0.82881319	0.692780122	0	0.491279887	0.113042383	0.239537761	0.018925313	0.476048705	0.343520208	0.935291394	0.883983568	0.058609581	0.96508765	0.007860973	0.191717742	0.464237772	0.849709396	0.141166583	0.89516476	0.474556795	0.100781241	0.465504542	0.918988165	0.853817861	0.072560764	0.726432583	0	0	0.956071235	0.929001484	0	0.302717043	0	0.959109249	0.98937967	1	0.992240528	1	0.987560454	1	0.758536251	0.668743573	0	0	0.72749205	1	0.404335707	1	0	0	0	0	0	0.86834366	1	0
MuenI	0.179770532	0	0.006147201	0	0.010112352	0.26394966	0.027900254	0.409170436	0.002789319	0.269007627	0.141096878	0.046505977	0.115295991	0.330846181	0.078699822	0.764040813	0.764040813	0	0	0.036856746	0.044341164	0.079312556	0.618201952	0	0	0.025084104	0.038033285	0.18916541	0.763940682	0.015455951	0.076819793	0.090995572	0.078985341	0.208225949	0.304275011	0.053966376	0.171644919	0.132099922	0.059167912	0.022341286	0.042495219	0.003675883	0.207935261	0.014419183	0.031979178	0.104966434	0.265861646	0.004926764	0	0	0.059768468	0.248710736	0.094268001	0.038607595	0.691542289	0	0.654950997	0.455476015	0.043738452	0	0.024355624	0.193494752	0.009754527	0.342471796	0.531147647	0.494406774	0.047626346	0.030149933	0.059908215	0	0	0	0	0.010896538	0.096516867	0.07103525	0.014309559	0.015712419	0	0.010845402	0.095621918	0.027444882	0.078665872	0.010319677	0	0	0.007759472	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.079588288	0.144585225	0.033813729	0	0
Mues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.897172009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rubi	0.452383797	0.015845789	0.032278148	0.298259245	0.732033924	0.006455828	0.046604537	0.129186829	0.066791432	0.026665315	0.005443295	0.136313239	0.843332356	0.04795418	0.121429859	0.024266936	0.024266936	0.016116105	0	0.010874296	0.038751728	0	0.350873595	0.00317603	0.05313861	0.454492014	0.157730784	0.254277233	0.076012488	0.112055641	0.23444789	0.252648844	0.115076871	0.155657546	0.072190392	0.671345793	0.080099942	0.119420731	0.004039835	0.04413586	0.096047129	0	0.033008224	0.025639309	0.030434405	0	0	0.002503329	0	0.025992803	0.095925516	0.044538209	0.874521647	0.456329114	0.169783991	0.068745644	0.116593444	0.044490533	0.61274134	0.064708606	0.091660808	0.73646472	0.025157823	0.641404389	0.01890586	0.041355454	0.102664259	0.022119962	0.034882566	0.39063451	0.041256189	0.157132335	0.021147668	0.007023688	0.018651874	0.083668621	0.136029383	0.068866895	0.034198674	0.046855343	0.904378082	0.544186259	0.172710693	0.030571074	0.01062033	0	0	0	0	0	0.241463749	0.331256427	0.982875812	0.095244522	0.264283364	0	0.595664293	0	0	0.084082782	1	0.288279983	0.49403084	0.075525199	0	0
Typm	0.016833881	0.087560239	0.034053146	0.005552783	0.196204731	0.107333511	0.369589377	0.01489526	0.005524862	0.031858686	0	0	0	0.131262014	0	0	0	0	0	0	0	0	0	0.978369864	0.416306798	0	0	0.229403	0.024152285	0	0	0	0	0.046213592	0	0	0	0	0.016121759	0	0.014606908	0	0	0	0	0	0.446172738	0	0	0	0.003490544	0.013970933	0	0	0	0.061762508	0	0	0	0	0	0	0	0	0.082303726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017124188	0	0	0	0	0	0	0	0	0	0	0	0	0
